date,row_index,prediction,truth,error,ensemble_probability,w_old,w_medium,w_recent,drift_detected
2020-12-31,249,0,1,1,0.27396779878959054,0.3333,0.3333,0.3333,False
2021-01-01,250,0,1,1,0.1827506180908531,0.3333,0.3333,0.3333,False
2021-01-04,251,0,1,1,0.2691127869095653,0.3333,0.3333,0.3333,False
2021-01-05,252,0,1,1,0.3960089087001979,0.3333,0.3333,0.3333,False
2021-01-06,253,0,1,1,0.31768320278674367,0.3333,0.3333,0.3333,False
2021-01-07,254,0,1,1,0.431388905274868,0.3333,0.3333,0.3333,False
2021-01-08,255,0,1,1,0.2044892819610424,0.3333,0.3333,0.3333,False
2021-01-11,256,0,0,0,0.39652984341680997,0.3333,0.3333,0.3333,False
2021-01-12,257,0,0,0,0.44725667751431464,0.3333,0.3333,0.3333,False
2021-01-13,258,0,1,1,0.2878546349264681,0.3333,0.3333,0.3333,False
2021-01-14,259,0,0,0,0.22427574933171274,0.3333,0.3333,0.3333,False
2021-01-15,260,0,0,0,0.4690792026311159,0.3333,0.3333,0.3333,False
2021-01-18,261,1,0,1,0.6543970303237439,0.3333,0.3333,0.3333,False
2021-01-19,262,1,0,1,0.7906600650072096,0.3333,0.3333,0.3333,False
2021-01-20,263,1,0,1,0.6614418928027153,0.3333,0.3333,0.3333,False
2021-01-21,264,1,0,1,0.8603775331377983,0.3333,0.3333,0.3333,False
2021-01-22,265,1,0,1,0.6628528370216489,0.3333,0.3333,0.3333,False
2021-01-25,266,1,1,0,0.5493473556926474,0.3333,0.3333,0.3333,False
2021-01-27,267,1,1,0,0.5857425779845565,0.3333,0.3333,0.3333,False
2021-01-28,268,1,1,0,0.6350071198716759,0.3333,0.3333,0.3333,False
2021-01-29,269,1,1,0,0.522276630654931,0.3333,0.3333,0.3333,False
2021-02-01,270,0,1,1,0.444378489427641,0.3333,0.3333,0.3333,False
2021-02-02,271,1,1,0,0.5443805919338017,0.3333,0.3333,0.3333,False
2021-02-03,272,1,1,0,0.6292239069074391,0.3333,0.3333,0.3333,False
2021-02-04,273,0,1,1,0.3643943371340633,0.3333,0.3333,0.3333,False
2021-02-05,274,1,1,0,0.5873659430891275,0.3333,0.3333,0.3333,False
2021-02-08,275,0,1,1,0.3764853407487273,0.3333,0.3333,0.3333,False
2021-02-09,276,1,1,0,0.571875619250536,0.3333,0.3333,0.3333,False
2021-02-10,277,0,1,1,0.3764942308858037,0.3333,0.3333,0.3333,False
2021-02-11,278,0,0,0,0.3226666088573634,0.3333,0.3333,0.3333,False
2021-02-12,279,1,0,1,0.561977956482768,0.3333,0.3333,0.3333,False
2021-02-15,280,0,0,0,0.22049451080560684,0.3333,0.3333,0.3333,False
2021-02-16,281,0,0,0,0.48966765255779027,0.3333,0.3333,0.3333,False
2021-02-17,282,0,0,0,0.45613395617455244,0.3333,0.3333,0.3333,False
2021-02-18,283,1,0,1,0.637899339723587,0.3333,0.3333,0.3333,False
2021-02-19,284,1,0,1,0.6247278914272785,0.3333,0.3333,0.3333,False
2021-02-22,285,1,1,0,0.6540391178749502,0.3333,0.3333,0.3333,False
2021-02-23,286,1,1,0,0.5705991271801293,0.3333,0.3333,0.3333,False
2021-02-24,287,1,1,0,0.556436084044911,0.3333,0.3333,0.3333,False
2021-02-25,288,1,0,1,0.6110237277410924,0.3333,0.3333,0.3333,False
2021-02-26,289,1,1,0,0.5727785244181752,0.3333,0.3333,0.3333,False
2021-03-01,290,1,1,0,0.6158931631235406,0.3333,0.3333,0.3333,False
2021-03-02,291,1,1,0,0.6068767488515004,0.3333,0.3333,0.3333,False
2021-03-03,292,1,0,1,0.6223631695970893,0.3333,0.3333,0.3333,False
2021-03-04,293,1,0,1,0.6687537524208427,0.3333,0.3333,0.3333,False
2021-03-05,294,1,0,1,0.6948045906275511,0.3333,0.3333,0.3333,False
2021-03-08,295,1,0,1,0.6850697017997504,0.3333,0.3333,0.3333,False
2021-03-09,296,1,0,1,0.6829931942403317,0.3333,0.3333,0.3333,False
2021-03-10,297,0,0,0,0.44065271865203975,0.3333,0.3333,0.3333,False
2021-03-12,298,1,0,1,0.5841553718984127,0.3333,0.3333,0.3333,False
2021-03-15,299,1,0,1,0.6221458032622933,0.3333,0.3333,0.3333,False
2021-03-16,300,1,0,1,0.7113793522596359,0.3333,0.3333,0.3333,False
2021-03-17,301,0,0,0,0.39872272485718135,0.3333,0.3333,0.3333,False
2021-03-18,302,1,0,1,0.6774425800412892,0.3333,0.3333,0.3333,False
2021-03-19,303,1,0,1,0.6684312391072511,0.3333,0.3333,0.3333,False
2021-03-22,304,0,1,1,0.37140145377963785,0.3333,0.3333,0.3333,False
2021-03-23,305,0,0,0,0.20628009298369288,0.3333,0.3333,0.3333,False
2021-03-24,306,0,1,1,0.3080255290210247,0.3333,0.3333,0.3333,False
2021-03-25,307,1,1,0,0.5125713325738906,0.3333,0.3333,0.3333,False
2021-03-26,308,1,1,0,0.5178375915169716,0.3333,0.3333,0.3333,False
2021-03-30,309,1,0,1,0.548372033777833,0.3333,0.3333,0.3333,False
2021-03-31,310,0,1,1,0.4435850062027573,0.3333,0.3333,0.3333,False
2021-04-01,311,1,0,1,0.6232050755113363,0.3333,0.3333,0.3333,False
2021-04-05,312,0,0,0,0.4572381807312369,0.3333,0.3333,0.3333,False
2021-04-06,313,0,0,0,0.4348987984411418,0.3333,0.3333,0.3333,False
2021-04-07,314,1,0,1,0.5758807898998259,0.3333,0.3333,0.3333,False
2021-04-08,315,1,0,1,0.6368962839335203,0.3333,0.3333,0.3333,False
2021-04-09,316,0,0,0,0.44094610062539574,0.3333,0.3333,0.3333,False
2021-04-12,317,1,0,1,0.5232742232322692,0.3333,0.3333,0.3333,False
2021-04-13,318,0,0,0,0.47532398257255554,0.3333,0.3333,0.3333,False
2021-04-15,319,1,0,1,0.5161497865766287,0.3333,0.3333,0.3333,False
2021-04-16,320,0,0,0,0.4552169062525034,0.3333,0.3333,0.3333,False
2021-04-19,321,1,1,0,0.613156657871604,0.3333,0.3333,0.3333,False
2021-04-20,322,1,1,0,0.6791863084137439,0.3333,0.3333,0.3333,False
2021-04-22,323,1,1,0,0.626915739262104,0.3333,0.3333,0.3333,False
2021-04-23,324,0,1,1,0.4313000039041042,0.3333,0.3333,0.3333,False
2021-04-26,325,0,1,1,0.3858740158528089,0.3333,0.3333,0.3333,False
2021-04-27,326,1,0,1,0.6033279408484697,0.3333,0.3333,0.3333,False
2021-04-28,327,1,0,1,0.8588878441572189,0.3333,0.3333,0.3333,False
2021-04-29,328,1,0,1,0.6601599747687578,0.3333,0.3333,0.3333,False
2021-04-30,329,0,1,1,0.4210350592777133,0.3333,0.3333,0.3333,False
2021-05-03,330,1,1,0,0.5489969011500477,0.3333,0.3333,0.3333,False
2021-05-04,331,0,1,1,0.35407302829362447,0.3333,0.3333,0.3333,False
2021-05-05,332,0,1,1,0.4071026301473379,0.3333,0.3333,0.3333,False
2021-05-06,333,1,0,1,0.5873762784942984,0.3333,0.3333,0.3333,False
2021-05-07,334,1,1,0,0.7069729086354375,0.3333,0.3333,0.3333,False
2021-05-10,335,1,1,0,0.7793484929859638,0.3333,0.3333,0.3333,False
